Quality,,shit
Quality,,aspiring
Quality,,great
Kind,,fanon
Kind,,canonical
Kind,,answers
Kind,,lyrics
Kind,,N/A
Type,General,Fictional character
Type,General,Person
Type,General,Location
Type,General,Product
Type,General,Item
MobileQuality,,shit
MobileQuality,,ok
MobileQuality,,great
